CASEID,ngrdchdc,amb_01,ats_120,ats_130,ats_140,ats_145,alndimmg,bpr_19,brthcan,brthmacr,brthprvc,yrarri,cc_20_1,cc_30_1,cc_40_1,cc_50_1,cc_60_1,cca551c,cca651c,ccdyc1c,ccmoc1c,cp_10_1,cp_20_1,csp_110a,csp_110b,cu0_132,famtype,hsdsizec,marstat,sex,dwelc,acompstc,ehg3_01b,prv,region,famincg2,ttlincg2,lanhmult,lanhome,religflg,rto_100,rto_101,slm_01,srh_110,srh_115,sts_410,sts_420,tsa_010
 9376, 7,6,6,6,6,6,96,2,2,2,96, 2,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 1,1,4,96, 1,24,2,1,1,1, 3,1,6,6, 7,3,7,6,6,96
 9377, 0,2,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,2,36, 4,12,1,2,2,1, 1,1,6,6, 6,5,2,6,6,96
 9378, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,2,26, 3,24,2,1,1,1, 2,1,6,6, 0,4,5,6,6,96
 9379, 0,6,6,6,6,6, 4,2,2,4,96, 8,1,97,6,6,96,6,2,99,99,7,96,6,6,6,2,3, 1,1,2,26, 4,59,5,4,3,2, 5,1,6,6, 8,3,3,6,6,96
 9380, 0,2,6,6,6,6,96,1,1,6, 6,96,1, 5,6,2, 8,2,4,96, 7,2,96,6,6,6,2,3, 1,2,4,23, 6,35,3,6,6,1, 1,1,1,1, 8,1,1,6,6,96
 9381, 1,6,6,6,6,6, 7,2,2,4,96, 8,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,5, 3,2,1,18, 2,48,4,2,1,1, 3,2,6,6, 6,4,4,6,6,96
 9382, 0,6,6,6,6,6, 1,2,2,2,96,11,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 6,2,1,17, 2,35,3,6,1,2, 5,2,6,6, 4,3,4,6,6,96
 9383, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,4,40, 4,35,3,4,1,1, 1,2,6,6, 7,3,3,6,6,96
 9384, 0,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 1,1,2,96, 1,48,4,6,3,1, 1,1,6,6, 8,2,2,6,6,96
 9385, 9,2,6,6,6,6, 5,2,2,2,96, 4,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,40, 5,46,4,3,2,1, 1,1,6,6, 7,5,4,6,6,96
 9386, 0,6,6,6,6,6, 9,6,2,2,96,13,6,96,6,6,96,6,6,96,96,6,96,6,6,2,6,1, 2,1,3,23, 4,59,5,2,2,2, 5,1,6,6, 9,1,1,6,6,96
 9387, 0,2,6,6,6,6,96,1,1,6, 6,96,2,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,1,24, 6,48,4,5,5,2, 5,2,6,6, 8,2,2,6,6,96
 9388, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,3, 1,1,1,21, 4,46,4,3,3,1, 1,1,6,6, 8,2,1,6,6,96
 9389, 0,6,6,6,6,6, 7,2,2,2,96, 6,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,27, 7,10,1,6,3,1, 1,2,6,6,10,3,3,6,6,96
 9390, 0,6,6,6,6,6, 8,2,2,3,96,13,2,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,23, 6,48,4,3,3,2, 5,1,1,2, 5,5,3,6,6,96
 9391, 0,6,6,6,6,6, 4,2,2,4,96, 8,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,6, 6,1,1,21, 4,35,3,5,2,2, 5,1,6,6,10,2,2,6,6,96
